Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jack Flaherty,STL,12,10,3.73,31,31,0,177,156,73,24,194,59,1.21,9.88,2.98,3.85,2.8,3.1,69.1,17479
Steven Matz,STL,10,9,3.91,29,29,0,161,153,70,21,154,49,1.25,8.6,2.76,4,2.5,2.4,255.4,13361
Adam Wainwright,STL,11,11,4.1,31,31,0,194,197,88,25,164,56,1.3,7.62,2.6,4.15,2.4,2.4,190.3,2233
Miles Mikolas,STL,9,9,4.18,26,26,0,145,152,67,20,108,34,1.28,6.71,2.09,4.26,1.8,1.6,458.1,9803
Dakota Hudson,STL,9,9,4.39,24,38,0,150,155,73,17,112,64,1.46,6.74,3.85,4.57,1,1.1,444.3,19206
Giovanny Gallegos,STL,4,3,3.49,0,70,23,70,58,27,9,83,22,1.15,10.72,2.84,3.55,0.8,0.8,127.6,14986
Genesis Cabrera,STL,4,3,3.44,0,66,1,66,52,25,7,80,31,1.26,10.94,4.17,3.7,0.6,0.8,590.1,17490
Jordan Hicks,STL,3,3,3.38,0,57,3,57,48,21,5,64,29,1.34,10.17,4.56,3.61,0.5,0.6,522.7,19618
Matthew Liberatore,STL,3,3,4.31,8,8,0,46,46,22,6,38,16,1.36,7.37,3.2,4.55,0.4,0.4,578.6,sa3008163
Alex Reyes,STL,4,3,3.84,0,68,9,68,54,29,8,83,39,1.37,10.95,5.2,4.09,0.3,0.4,277.4,15015
Ryan Helsley,STL,3,3,3.98,0,60,0,60,53,27,7,64,28,1.34,9.61,4.18,4.16,0.2,0.2,999,18138
T.J. Zeuch,STL,2,2,4.02,2,32,0,39,40,17,4,30,13,1.37,7,3.1,4.18,0.2,0.2,999,19269
T.J. McFarland,STL,3,3,3.84,0,55,0,55,58,23,5,39,19,1.4,6.4,3.08,4.1,0.2,0.3,999,3237
Sidney Thomas,STL,1,1,3.81,2,2,0,9,9,4,1,7,3,1.36,6.84,3.03,4.07,0.1,0.2,999,sa3010784
Johan Oviedo,STL,2,2,4.21,3,25,0,39,38,18,4,36,19,1.42,8.24,4.26,4.42,0.1,0.2,999,22487
Junior Fernandez,STL,2,2,3.84,0,42,0,42,37,18,5,44,20,1.37,9.41,4.37,4.09,0.1,0.2,999,18496
Jake Walsh,STL,1,1,4.02,0,18,0,18,16,8,2,19,8,1.33,9.59,3.9,4.15,0.1,0,999,sa3004457
Kodi Whitley,STL,2,2,4.13,0,46,0,46,42,21,6,47,20,1.34,9.19,3.86,4.3,0.1,0.1,999,19731
Angel Rondon,STL,1,1,4.21,0,12,0,12,12,6,2,11,4,1.32,7.88,3.14,4.41,0,0,999,22036
Ricardo Sanchez,STL,0,0,3.7,0,1,0,1,1,0,0,1,0,1.31,8.07,3.22,3.98,0,0.1,999,17581
Johan Quezada,STL,0,0,4.13,0,4,0,4,4,2,0,4,2,1.42,8.29,4.25,4.36,0,0,999,20643
Ljay Newsome,STL,0,0,4.05,0,1,0,1,1,0,0,1,0,1.21,8.19,2.21,4.2,0,0.1,999,19942
Brandon Waddell,STL,0,0,4.06,0,1,0,1,1,0,0,1,0,1.4,8.52,4.18,4.38,0,0.1,999,18347
Jacob Bosiokovic,STL,0,0,4.18,0,1,0,1,1,0,0,1,0,1.41,8.64,4.34,4.43,0,0,999,sa918394
Tyler Pike,STL,0,0,4.26,0,0,0,1,1,0,0,1,0,1.36,6.92,2.99,4.49,0,0,999,sa657974
Neil Pallante,STL,0,0,4.5,0,0,0,1,1,1,0,1,0,1.5,6.27,4.02,4.72,0,0,999,sa3011186
Thomas Parsons,STL,0,0,4.78,0,0,0,1,1,1,0,1,0,1.35,7.1,2.89,4.98,0,0,999,sa3007624
Domingo Robles,STL,0,0,4.75,0,0,0,1,1,1,0,1,0,1.41,6.05,2.99,5.02,0,0,999,sa872881
Connor Lunn,STL,0,0,4.81,0,0,0,1,1,1,0,1,0,1.44,6.07,3.31,5.04,0,0,999,sa3011189
Jack Ralston,STL,0,0,4.95,0,0,0,1,1,1,0,1,1,1.57,7.76,5.3,5.2,0,0,999,sa3011296
Zachary Thompson,STL,0,0,4.89,0,0,0,1,1,1,0,1,1,1.53,6.79,4.51,5.21,0,0,999,sa3011128
Dalton Roach,STL,0,0,5.05,0,0,0,1,1,1,0,1,0,1.46,6.7,3.72,5.29,0,0,999,sa3010567
Kyle Leahy,STL,0,0,5.18,0,0,0,1,1,1,0,1,0,1.55,5.58,4.02,5.39,0,0,999,sa3007241
Brian Lardner,STL,0,0,5.09,0,0,0,1,1,1,0,1,0,1.55,6.29,4.41,5.39,0,0,999,sa3014928
Colin Schmid,STL,0,0,5.1,0,0,0,1,1,1,0,1,1,1.6,5.97,4.74,5.46,0,0,999,sa3007712
John Beller,STL,0,0,5.19,0,0,0,1,1,1,0,1,1,1.68,6,5.52,5.57,0,0,999,sa3014972
Dionys Rodriguez,STL,0,0,5.42,0,0,0,1,1,1,0,1,1,1.63,6.37,5.09,5.67,0,0,999,sa3005877
