Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Shane McClanahan,TBR,11,9,3.6,28,28,0,159,139,64,19,174,56,1.23,9.82,3.14,3.72,2.6,3.1,111.4,21483
Shane Baz,TBR,8,7,3.71,21,21,0,118,100,49,16,134,40,1.19,10.19,3.02,3.8,2.1,2.1,151.1,22264
Drew Rasmussen,TBR,9,9,3.91,24,41,0,148,135,64,18,152,59,1.31,9.22,3.56,4.01,1.7,2.1,281.1,25385
Corey Kluber,TBR,9,9,4.32,26,26,0,148,143,71,22,140,52,1.32,8.46,3.14,4.39,1.4,1.5,364.4,2429
Luis Patino,TBR,7,7,4.26,15,55,0,118,105,56,18,124,49,1.3,9.45,3.71,4.43,0.9,0.9,320,22815
Yonny Chirinos,TBR,7,7,4.33,16,48,0,123,124,59,18,105,37,1.3,7.64,2.68,4.44,0.7,0.9,600.2,16401
Ryan Yarbrough,TBR,8,9,4.79,24,24,0,140,152,75,24,95,36,1.34,6.12,2.32,4.97,0.7,0.7,495.3,16502
Andrew Kittredge,TBR,4,3,3.29,0,65,20,65,57,24,7,70,19,1.17,9.76,2.65,3.4,0.7,0.8,304.4,12828
Pete Fairbanks,TBR,3,3,3.48,0,64,9,64,51,25,7,78,27,1.22,10.94,3.73,3.56,0.5,0.7,495.7,17998
JT Chargois,TBR,3,3,3.79,0,63,3,63,56,27,7,68,26,1.3,9.71,3.73,3.93,0.3,0.4,595.7,13767
Brendan McKay,TBR,1,1,3.6,2,16,0,23,20,9,3,27,8,1.2,10.35,3.16,3.76,0.3,0.3,999,20186
Josh Fleming,TBR,3,3,4.09,5,29,0,51,54,23,6,37,16,1.36,6.45,2.74,4.29,0.2,0.4,569.6,20418
Brooks Raley,TBR,3,2,3.68,0,52,0,52,46,21,6,55,19,1.24,9.59,3.3,3.91,0.2,0.4,594.2,10061
Tobias Myers,TBR,3,3,4.42,5,29,0,52,50,25,9,49,16,1.29,8.49,2.86,4.53,0.2,0.4,999,sa918088
Matt Wisler,TBR,3,3,4,0,60,2,60,52,27,9,66,20,1.21,9.92,3.02,4.09,0.2,0.3,600.9,12804
Jeffrey Springs,TBR,2,2,3.55,0,34,0,34,28,13,5,41,13,1.2,10.95,3.51,3.74,0.2,0.4,999,17677
Colin Poche,TBR,2,2,3.72,0,44,0,44,35,18,6,54,18,1.21,11.12,3.61,3.89,0.2,0.4,999,19403
Ryan Thompson,TBR,3,3,3.8,0,55,1,55,51,23,6,53,20,1.29,8.65,3.26,3.98,0.2,0.4,999,16647
Tommy Romero,TBR,1,1,4.19,2,8,0,15,14,7,2,15,5,1.27,8.99,3.18,4.37,0.1,0.1,600.1,sa3004469
Jalen Beeks,TBR,2,2,3.96,0,38,0,38,36,17,5,36,15,1.33,8.52,3.53,4.21,0.1,0.2,999,17192
Nick Anderson,TBR,1,1,4.18,0,20,0,20,18,9,3,20,6,1.24,9.22,2.92,4.32,0,0,594,18337
