Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jon Gray,TEX,10,11,4.31,31,31,0,178,174,85,26,176,61,1.32,8.9,3.09,4.24,2.1,2.2,272.6,14916
Dane Dunning,TEX,9,10,4.3,28,28,0,151,152,72,20,136,54,1.36,8.1,3.2,4.27,1.8,1.8,419.6,19409
Glenn Otto,TEX,6,6,4.43,18,18,0,97,95,48,15,94,35,1.34,8.71,3.21,4.42,1,1.1,577,21366
Spencer Howard,TEX,7,8,4.78,23,23,0,111,110,59,18,104,45,1.4,8.46,3.65,4.78,0.8,0.8,573,23252
Taylor Hearn,TEX,7,9,4.87,23,23,0,127,127,69,21,117,57,1.45,8.27,4.01,4.97,0.6,0.8,567.8,18325
A.J. Alexy,TEX,6,9,5.19,21,21,0,118,120,68,21,106,59,1.51,8.07,4.48,5.3,0.3,0.3,595.9,22343
Kolby Allard,TEX,3,4,4.7,8,20,0,56,59,29,9,48,19,1.38,7.7,3,4.72,0.3,0.3,598.3,18694
Jose Leclerc,TEX,2,2,3.79,0,36,0,36,29,15,5,45,16,1.26,11.27,4.05,3.87,0.2,0.3,999,14524
Josh Sborz,TEX,3,3,4.11,0,60,1,60,54,27,8,67,26,1.34,10.05,3.97,4.11,0.2,0.3,596.9,18323
John King,TEX,3,3,3.85,0,55,0,55,55,24,6,48,18,1.32,7.9,2.94,4.01,0.2,0.4,999,22051
Jonathan Hernandez,TEX,2,2,4.04,0,38,0,38,35,17,5,40,15,1.33,9.44,3.62,4.08,0.2,0.2,999,17464
Cole Winn,TEX,2,3,5.04,8,8,0,46,47,26,8,42,21,1.46,8.22,4.11,5.09,0.2,0.2,595.7,sa3008662
Brock Burke,TEX,1,1,4.1,2,16,0,23,22,11,3,23,9,1.33,8.92,3.4,4.24,0.2,0.2,999,17968
Spencer Patton,TEX,3,3,4.31,0,64,3,64,61,31,9,65,26,1.36,9.21,3.64,4.35,0.2,0.1,595.6,12361
Brett Martin,TEX,3,3,4.09,0,61,2,61,63,28,7,51,21,1.38,7.46,3.13,4.21,0.1,0.3,999,17369
Nick Snyder,TEX,2,2,4.09,0,44,0,44,40,20,6,47,18,1.32,9.66,3.65,4.13,0.1,0.2,999,23493
Jake Latz,TEX,1,1,4.62,2,6,0,13,13,7,2,13,6,1.41,8.6,3.9,4.8,0.1,0.1,999,21306
Chase Lee,TEX,0,0,4.14,0,1,0,1,1,0,0,1,0,1.34,9.57,3.7,4.15,0,0.1,999,sa3016946
Daniel Robert,TEX,0,0,4.13,0,1,0,1,1,0,0,1,0,1.32,9.46,3.52,4.16,0,0.1,999,sa3009856
Edwar Colina,TEX,0,0,4.18,0,1,0,1,1,0,0,1,0,1.34,9.32,3.59,4.24,0,0.1,999,20589
Kyle Cody,TEX,0,0,4.29,0,1,0,1,1,0,0,1,0,1.35,9.14,3.58,4.29,0,0,999,19686
Zachary Kent,TEX,0,0,4.68,0,0,0,1,1,1,0,1,0,1.38,7.85,3.15,4.7,0,0,999,sa3010315
Cody Bradford,TEX,0,0,4.58,0,0,0,1,1,1,0,1,0,1.34,7.77,2.85,4.71,0,0,999,sa3014463
Avery Weems,TEX,0,0,4.61,0,0,0,1,1,1,0,1,0,1.49,7.11,3.88,4.75,0,0,999,sa3010256
Yerry Rodriguez,TEX,0,0,4.75,0,0,0,1,1,1,0,1,0,1.42,8.1,3.67,4.78,0,0,999,sa918130
Noah Bremer,TEX,0,0,4.9,0,0,0,1,1,1,0,1,0,1.48,6.91,3.58,4.92,0,0,999,sa915571
Ronny Henriquez,TEX,0,0,5.03,0,0,0,1,1,1,0,1,0,1.42,7.41,3.25,5.03,0,0,999,sa3005835
Tim Brennan,TEX,0,0,5.07,0,0,0,1,1,1,0,1,0,1.47,5.65,2.83,5.03,0,0,999,sa3008630
Kohei Arihara,TEX,0,0,5.14,0,0,0,1,1,1,0,1,0,1.41,6.91,2.62,5.04,0,0,999,27505
Cole Ragans,TEX,0,0,5.16,0,0,0,1,1,1,0,1,0,1.5,7.2,3.94,5.33,0,0,999,sa917938
Tyson Ross,TEX,0,0,5.47,0,0,0,1,1,1,0,1,0,1.56,6.49,3.85,5.34,0,0,999,7872
Jason Bahr,TEX,0,0,5.41,0,0,0,1,1,1,0,1,1,1.56,7.91,4.76,5.49,0,0,999,sa3004744
Grant Wolfram,TEX,0,0,5.46,0,0,0,1,1,1,0,1,1,1.63,6.89,5.04,5.65,0,0,999,sa3008313
Adam Quintana,TEX,0,0,5.62,0,0,0,1,1,1,0,1,1,1.68,6.23,5.08,5.66,0,0,999,sa883461
Reid Anderson,TEX,0,0,5.67,0,0,0,1,1,1,0,1,1,1.71,5.71,5.1,5.7,0,0,999,sa918378
Justin Slaten,TEX,0,0,5.71,0,0,0,1,1,1,0,1,0,1.58,6.85,4.27,5.7,0,0,999,sa3010309
Seth Nordlin,TEX,0,0,5.78,0,0,0,1,1,1,0,1,0,1.62,6.1,4.45,5.84,0,0,999,sa3004215
William White,TEX,0,0,5.86,0,0,0,1,1,1,0,1,1,1.66,6.67,4.99,5.86,0,0,999,sa3014481
Kevin Gowdy,TEX,0,0,5.82,0,0,0,1,1,1,0,1,1,1.66,5.54,4.51,5.88,0,0,999,sa917928
Ricky Vanasco,TEX,0,0,5.91,0,0,0,1,1,1,0,1,1,1.72,6.64,5.58,5.96,0,0,999,sa3004863
Nicholas Krauth,TEX,0,0,5.97,0,0,0,1,1,1,0,1,0,1.69,4.66,4.29,5.96,0,0,999,sa3015006
Tekoah Roby,TEX,0,0,6.02,0,0,0,1,1,1,0,1,1,1.69,6.33,5.08,6.01,0,0,999,sa3014519
Abdiel Mendoza,TEX,0,0,6.02,0,0,0,1,1,1,0,1,1,1.71,5.54,4.97,6.05,0,0,999,sa916829
Orceli Gomez,TEX,0,0,6.06,0,0,0,1,1,1,0,1,1,1.72,5.11,4.74,6.05,0,0,999,sa3007841
Mason Englert,TEX,0,0,6.2,0,0,0,1,1,1,0,1,1,1.68,5.81,4.63,6.19,0,0,999,sa3015036
Wyatt Sparks,TEX,0,0,6.3,0,0,0,1,1,1,0,1,1,1.73,5.03,4.75,6.26,0,0,999,sa1119694
