Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jose Berrios,TOR,13,10,3.9,32,32,0,196,183,85,26,200,55,1.22,9.19,2.54,3.85,3.4,3.9,76.1,14168
Kevin Gausman,TOR,13,9,3.87,32,32,0,188,172,81,26,204,53,1.2,9.73,2.53,3.78,3.3,3.9,61,14107
Hyun-Jin Ryu,TOR,12,9,4.04,31,31,0,177,181,79,24,153,43,1.27,7.78,2.19,4.03,2.6,3.2,195.6,14444
Alek Manoah,TOR,10,8,4.06,26,26,0,147,131,66,20,162,52,1.25,9.94,3.19,4.05,2.3,2.7,89.2,26410
Nate Pearson,TOR,6,6,4.33,15,33,0,99,90,48,15,105,43,1.34,9.56,3.88,4.39,1,1.3,414.9,20160
Jordan Romano,TOR,4,3,3.34,0,66,27,66,52,24,7,84,26,1.19,11.49,3.58,3.33,0.9,1,115.1,16122
Ross Stripling,TOR,6,6,4.53,15,37,0,98,100,50,16,88,29,1.31,8.07,2.62,4.51,0.9,1,516,13273
Tim Mayza,TOR,3,3,3.63,0,62,2,62,56,25,7,65,24,1.29,9.43,3.42,3.75,0.5,0.8,600.4,15042
Julian Merryweather,TOR,3,2,3.84,0,54,2,54,48,23,7,60,21,1.28,10.03,3.49,3.84,0.4,0.6,580.8,16703
Trevor Richards,TOR,3,3,4.15,0,56,0,56,52,26,9,59,20,1.27,9.56,3.15,4.23,0.3,0.4,999,19309
Anthony Castro,TOR,2,2,4.12,0,40,0,40,36,18,5,43,18,1.35,9.6,4.04,4.2,0.2,0.3,999,19789
Ryan Borucki,TOR,2,2,3.95,0,46,0,46,42,20,6,47,20,1.35,9.27,3.83,4.06,0.2,0.4,999,16350
Zach Logue,TOR,2,2,4.65,5,5,0,28,28,14,5,23,9,1.34,7.45,2.83,4.81,0.2,0.4,999,sa915822
Thomas Hatch,TOR,2,2,4.47,2,28,0,35,35,17,5,32,12,1.33,8.18,3.12,4.53,0.2,0.2,999,19264
Yimi Garcia,TOR,3,3,4.22,0,60,1,60,56,28,9,62,20,1.27,9.31,3.04,4.26,0.2,0.4,563.7,12095
David Phelps,TOR,1,1,3.96,0,24,0,24,22,11,3,26,9,1.29,9.9,3.47,3.95,0.2,0.3,999,6316
Jacob Barnes,TOR,2,2,4.35,0,34,0,34,34,16,4,31,14,1.39,8.22,3.58,4.35,0.1,0.1,999,12323
Kirby Snead,TOR,1,1,3.65,0,12,0,12,11,5,1,12,5,1.32,9.34,3.7,3.81,0.1,0.2,999,19179
Trent Thornton,TOR,2,2,4.32,0,32,0,32,31,15,5,31,11,1.31,8.74,3.09,4.35,0.1,0.2,999,17948
Tayler Saucedo,TOR,1,1,3.88,0,15,0,15,15,6,2,13,6,1.37,8.08,3.57,4.08,0.1,0.2,999,17888
Adam Cimber,TOR,3,3,4.4,0,68,1,68,72,33,9,49,22,1.39,6.5,2.89,4.5,0.1,0.3,999,15288
