Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Patrick Corbin,WSN,11,10,4.15,29,29,0,174,174,80,24,168,57,1.33,8.67,2.94,4.07,2.7,2.6,427.3,9323
Stephen Strasburg,WSN,9,9,4.16,26,26,0,153,149,71,20,154,51,1.3,9.04,2.99,4.03,2.6,2.3,315,10131
Josiah Gray,WSN,8,9,4.7,24,24,0,139,134,73,25,144,54,1.35,9.37,3.47,4.68,1.7,1.3,281.6,24580
Erick Fedde,WSN,7,8,4.65,23,23,0,121,128,63,17,104,45,1.42,7.73,3.31,4.51,1.3,1.2,564.6,17425
Joe Ross,WSN,5,6,4.54,16,16,0,91,91,46,14,85,31,1.35,8.5,3.07,4.43,1.1,1,594.8,12972
Steven Cavalli,WSN,3,3,4.46,10,10,0,55,53,27,7,55,27,1.44,8.96,4.38,4.48,0.7,0.6,548.6,sa3014421
Paolo Espino,WSN,4,5,4.87,11,27,0,76,82,41,14,65,22,1.35,7.68,2.55,4.74,0.6,0.4,589.8,8246
Will Harris,WSN,3,3,4.03,0,56,1,56,54,25,7,55,20,1.33,8.86,3.18,3.92,0.5,0.4,999,3192
Patrick Murphy,WSN,3,2,3.85,0,53,0,53,50,23,6,55,21,1.32,9.33,3.51,3.82,0.5,0.4,999,19712
Tanner Rainey,WSN,3,3,4.05,0,65,7,65,53,29,8,84,37,1.38,11.63,5.08,4.12,0.5,0.5,382.4,17610
Kyle Finnegan,WSN,3,3,4.21,0,66,28,66,62,31,8,69,30,1.39,9.41,4.1,4.17,0.3,0.3,424.7,15009
Austin Voth,WSN,3,3,4.29,0,63,1,63,60,30,10,65,22,1.31,9.29,3.21,4.29,0.3,0.3,999,15047
Mason Thompson,WSN,2,2,4.37,0,48,0,48,47,23,6,46,23,1.46,8.57,4.34,4.38,0.3,0.1,999,21850
Seth Romero,WSN,1,1,4.09,2,20,0,27,25,12,4,29,12,1.36,9.45,3.89,4.17,0.2,0.3,999,21333
Josh Rogers,WSN,4,6,5.42,15,21,0,90,103,54,17,61,30,1.48,6.14,3.01,5.44,0.2,0.1,999,18510
Joan Adon,WSN,2,2,4.78,5,5,0,28,28,15,4,25,13,1.47,8.05,4.07,4.73,0.2,0.2,599.8,22925
Francisco Perez,WSN,2,2,4.13,0,42,0,42,37,19,5,48,22,1.4,10.31,4.68,4.27,0.1,0.2,999,21018
Sam Clay,WSN,2,2,4.12,0,35,0,35,36,16,3,30,16,1.47,7.62,4.07,4.26,0.1,0.1,999,16279
Luis Avilan,WSN,1,1,4.46,0,26,0,26,26,13,3,24,11,1.44,8.25,3.89,4.51,0.1,0,999,2882
Alberto Baldonado,WSN,1,1,4.22,0,15,0,15,14,7,2,16,7,1.37,9.37,3.9,4.33,0.1,0,999,11812
Gerardo Carrillo,WSN,1,1,4.74,2,10,0,17,17,9,2,15,9,1.52,8,4.59,4.8,0.1,0,999,sa3002790
Sean Nolin,WSN,1,1,4.28,0,12,0,12,12,6,2,11,4,1.34,8.61,3.15,4.31,0.1,0.1,999,11341
Andres Machado,WSN,3,3,4.62,0,60,0,60,60,31,8,55,26,1.43,8.2,3.87,4.61,0,0,999,14681
Victor Arano,WSN,0,0,4.31,0,1,0,1,1,0,0,1,0,1.37,9.41,3.75,4.27,0,0,999,15915
Andrew Istler,WSN,0,0,4.3,0,1,0,1,1,0,0,1,0,1.38,9.13,3.78,4.29,0,0,999,sa827457
Matthew Cronin,WSN,0,0,4.29,0,1,0,1,1,0,0,1,1,1.44,10.29,4.92,4.42,0,0,999,sa3011463
Gabe Klobosits,WSN,1,1,4.85,0,22,0,22,22,12,3,20,10,1.46,8.16,4.05,4.86,0,-0.1,999,19881
Sterling Sharp,WSN,0,0,4.58,0,1,0,1,1,1,0,1,0,1.53,6.45,3.93,4.6,0,0,999,19671
Francis Bartow,WSN,0,0,4.63,0,1,0,1,1,1,0,1,0,1.5,7.61,4.13,4.64,0,0,999,sa3007205
Alex Troop,WSN,0,0,4.54,0,0,0,1,1,1,0,1,0,1.36,7.77,2.96,4.62,0,0,999,sa915638
Timothy Cate,WSN,0,0,4.79,0,0,0,1,1,1,0,1,0,1.5,6.48,3.66,4.9,0,0,999,sa3007926
Jeffrey Henry,WSN,0,0,5.16,0,0,0,1,1,1,0,1,0,1.53,7.75,4.3,5.07,0,0,999,sa3014446
Andrew Lee,WSN,0,0,5.12,0,0,0,1,1,1,0,1,0,1.53,7.8,4.41,5.1,0,0,999,sa856275
Carson Teel,WSN,0,0,5.1,0,0,0,1,1,1,0,1,0,1.47,6.88,3.51,5.21,0,0,999,sa3007597
Mitchell Parker,WSN,0,0,5.15,0,0,0,1,1,1,0,1,1,1.56,7.27,4.59,5.3,0,0,999,sa3014973
Evan Lee,WSN,0,0,5.16,0,0,0,1,1,1,0,1,1,1.6,7.27,4.93,5.3,0,0,999,sa3008336
Josh Outman,WSN,0,0,5.22,0,0,0,1,1,1,0,1,0,1.55,7.02,4.43,5.4,0,0,999,4004
Luis Reyes,WSN,0,0,5.43,0,0,0,1,1,1,0,1,0,1.59,6.61,4.4,5.41,0,0,999,sa737048
Alfonso Hernandez,WSN,0,0,5.37,0,0,0,1,1,1,0,1,0,1.58,6.73,4.46,5.5,0,0,999,sa917812
Jackson Tetreault,WSN,0,0,5.57,0,0,0,1,1,1,0,1,0,1.55,6.5,3.86,5.51,0,0,999,sa3004662
Matthew Merrill,WSN,0,0,5.58,0,0,0,1,1,1,0,1,1,1.69,6.93,5.46,5.56,0,0,999,sa3004364
Ben Braymer,WSN,0,0,5.49,0,0,0,1,1,1,0,1,1,1.58,6.98,4.58,5.66,0,0,999,20175
Aldo Ramirez,WSN,0,0,5.7,0,0,0,1,1,1,0,1,1,1.68,5.78,4.77,5.66,0,0,999,sa3005371
Hector Silvestre,WSN,0,0,5.5,0,0,0,1,1,1,0,1,1,1.62,5.94,4.51,5.68,0,0,999,sa599917
Michael Cuevas,WSN,0,0,5.8,0,0,0,1,1,1,0,1,1,1.71,5.38,4.81,5.75,0,0,999,sa3011437
Jackson Rutledge,WSN,0,0,5.83,0,0,0,1,1,1,0,1,1,1.69,6.39,5.08,5.76,0,0,999,sa3011338
Richard Guasch,WSN,0,0,5.82,0,0,0,1,1,1,0,1,1,1.73,6.92,5.78,5.81,0,0,999,sa3008434
Griffin Shuman,WSN,0,0,5.84,0,0,0,1,1,1,0,1,0,1.58,6.13,3.98,5.85,0,0,999,sa3011187
Tyler Dyson,WSN,0,0,6.03,0,0,0,1,1,1,0,1,1,1.71,6.25,5.22,5.98,0,0,999,sa3011432
Jackson Stoeckinger,WSN,0,0,5.88,0,0,0,1,1,1,0,1,1,1.72,5.44,5.07,6,0,0,999,sa3005031
Niomar Gomez,WSN,0,0,6.14,0,0,0,1,1,1,0,1,1,1.76,6,5.45,6.07,0,0,999,sa3002607
Jacob Irvin,WSN,0,0,6.19,0,0,0,1,1,1,0,1,1,1.71,5.69,4.79,6.1,0,0,999,sa3008223
Rodney Theophile,WSN,0,0,6.17,0,0,0,1,1,1,0,1,1,1.79,5.42,5.53,6.12,0,0,999,sa3008228
Pedro Gonzalez,WSN,0,0,6.35,0,0,0,1,1,1,0,1,1,1.87,5.55,6.34,6.33,0,0,999,sa3002617
Andry Lara,WSN,0,0,6.44,0,0,0,1,1,1,0,1,1,1.8,5.86,5.74,6.35,0,0,999,sa3014716
Carlos Romero,WSN,0,0,6.44,0,0,0,1,1,1,0,1,1,1.81,5.33,5.67,6.43,0,0,999,sa3003106
Karlo Seijas,WSN,0,0,6.59,0,0,0,1,1,1,0,1,1,1.72,5.16,4.51,6.5,0,0,999,sa3006369
Bernardo Hiraldo,WSN,0,0,6.6,0,0,0,1,1,1,0,1,1,1.88,4.78,6.04,6.54,0,0,999,sa3009812
