Team,League,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
TBR,AL,58,32,42,531,0,703,9.46,2.82,1,0.278,74.60%,41.50%,10.70%,93.7,3.24,,3.59,3.98,7.9
CHW,AL,32,29,43,512,0,548,10.58,3.45,1.15,0.298,72.70%,42.40%,12.90%,96,3.97,,3.75,3.83,7.8
NYY,AL,48,30,47,512,0,606,10.02,3.36,1.08,0.282,72.70%,46.50%,13.40%,95.5,3.56,,3.76,3.78,7.5
SEA,AL,45,27,51,584,0,618.2,9.06,3.13,0.93,0.286,69.40%,42.40%,10.10%,93.7,3.88,,3.72,4.18,7
LAD,NL,41,28,56,600,0,608.2,9.64,3.98,0.89,0.257,73.60%,47.30%,11.40%,94.2,3.16,,3.83,4.07,6.5
SFG,NL,49,22,56,599,0,623.2,8.37,2.73,0.95,0.262,74.30%,43.40%,10.00%,93.6,2.99,,3.71,4.2,5.4
MIA,NL,35,34,33,595,0,635.2,8.4,3.33,0.82,0.288,70.10%,45.80%,9.60%,93,3.81,,3.8,4.29,5
LAA,AL,37,29,39,562,0,645.1,9.25,4.04,1.07,0.305,69.60%,45.50%,12.10%,92.9,4.59,,4.19,4.38,4.7
BOS,AL,42,23,49,563,0,607,10.01,4.23,1.04,0.311,72.70%,46.10%,12.20%,94.9,3.99,,4.06,4.23,4.6
NYM,NL,45,28,41,543,0,595.2,9.94,3.7,1.15,0.295,73.70%,41.70%,12.80%,95,3.9,,4.05,4.15,4.4
STL,NL,36,25,50,556,0,584.1,8.86,4.54,0.79,0.274,72.50%,42.30%,8.80%,95,3.97,,4.04,4.65,4.1
KCR,AL,33,25,37,556,0,621,8.93,3.99,1.09,0.282,71.40%,41.80%,11.40%,94.9,4.22,,4.2,4.5,3.6
ATL,NL,31,33,40,581,0,573.2,9.01,3.64,1.1,0.291,74.00%,40.20%,11.60%,94.4,3.97,,4.08,4.36,3.6
HOU,AL,32,31,34,512,0,563.1,9.92,4.01,1.18,0.286,72.40%,42.50%,13.70%,94.4,4.06,,4.21,4.19,3.6
MIL,NL,44,24,44,533,0,588.1,10.89,4.15,1.39,0.284,75.10%,41.60%,15.90%,92.6,4.02,,4.34,4.05,3.2
CLE,AL,32,30,39,535,0,588,9.83,3.73,1.18,0.289,77.20%,44.90%,14.50%,95.4,3.64,,4.06,3.96,3.2
SDP,NL,43,31,43,624,0,688.1,9.35,3.44,1.16,0.281,75.40%,44.90%,13.20%,94.2,3.62,,4.14,4.18,3
BAL,AL,28,34,26,569,0,666.2,8.6,4,1.47,0.3,65.20%,42.00%,14.20%,93.5,5.7,,4.87,4.76,2.5
TEX,AL,27,31,31,507,0,625.2,8.49,3.58,1.12,0.287,71.00%,43.80%,11.90%,94.1,4.13,,4.2,4.43,2.4
MIN,AL,34,31,42,529,0,623.2,9.12,3.58,1.33,0.287,70.30%,42.90%,14.40%,93,4.39,,4.38,4.27,2.4
CIN,NL,28,26,41,579,0,570.1,10.48,4.45,1.45,0.293,68.40%,39.60%,15.20%,94.7,4.99,,4.56,4.34,2.3
CHC,NL,30,31,40,599,0,631,10.2,4.45,1.27,0.279,70.60%,45.10%,15.40%,93.9,4.39,,4.48,4.26,2.3
DET,AL,42,28,42,577,0,638.1,8.92,4.4,1.17,0.303,71.70%,42.80%,12.40%,94.5,4.5,,4.53,4.69,2.1
COL,NL,32,30,33,543,0,565,8.78,4.25,1.24,0.296,69.40%,40.90%,13.20%,95.3,4.91,,4.58,4.63,1.7
TOR,AL,30,31,34,536,0,569,9.41,3.72,1.3,0.277,73.40%,45.20%,14.80%,94.3,4.08,,4.38,4.22,1.6
OAK,AL,29,24,39,504,0,539,7.85,3.19,1.22,0.277,71.60%,39.60%,11.50%,92.9,4.21,,4.37,4.69,1.2
PIT,NL,33,28,25,583,0,642.2,8.98,4.3,1.18,0.289,71.20%,40.70%,12.30%,93.7,4.55,,4.48,4.67,1.1
PHI,NL,42,28,36,525,0,575.2,9.4,3.99,1.39,0.298,71.00%,47.50%,16.30%,94,4.6,,4.61,4.27,1.1
WSN,NL,23,42,36,569,0,566.2,8.97,4.19,1.45,0.293,67.70%,40.60%,14.30%,94.5,5.08,,4.86,4.75,-0.2
ARI,NL,22,41,22,565,0,600.1,7.75,3.81,1.35,0.313,66.90%,40.80%,12.70%,92.3,5.08,,4.85,4.98,-1.2
