Home_Team,Home_Team_Win_Pct,Pct_Win_Home,Home_Odds,Casino_Odds,Pct_Diff,Away_Team,Away_Team_Win_Pct,Pct_Win_Away,Away_Odds,Casino_Odds,Pct_Diff
CHC,,,,#DIV/0!,#DIV/0!,PIT,,,,#DIV/0!,#DIV/0!
CIN,,,,#DIV/0!,#DIV/0!,STl,,,,#DIV/0!,#DIV/0!
NYY,,,,#DIV/0!,#DIV/0!,CLE,,,,#DIV/0!,#DIV/0!
PHI,,,,#DIV/0!,#DIV/0!,MIL,,,,#DIV/0!,#DIV/0!
WSN,,,,#DIV/0!,#DIV/0!,SFG,,,,#DIV/0!,#DIV/0!
TBR,,,,#DIV/0!,#DIV/0!,BOS,,,,#DIV/0!,#DIV/0!
DET,,,,#DIV/0!,#DIV/0!,COL,,,,#DIV/0!,#DIV/0!
ATL,,,,#DIV/0!,#DIV/0!,MIA,,,,#DIV/0!,#DIV/0!
MIN,,,,#DIV/0!,#DIV/0!,CHW,,,,#DIV/0!,#DIV/0!
HOU,,,,#DIV/0!,#DIV/0!,TOR,,,,#DIV/0!,#DIV/0!
LAA,,,,#DIV/0!,#DIV/0!,BAL,,,,#DIV/0!,#DIV/0!
SEA,,,,#DIV/0!,#DIV/0!,KCR,,,,#DIV/0!,#DIV/0!
SDP,,,,#DIV/0!,#DIV/0!,LAD,,,,#DIV/0!,#DIV/0!
ARI,,,,#DIV/0!,#DIV/0!,NYM,,,,#DIV/0!,#DIV/0!
OAK,,,,#DIV/0!,#DIV/0!,TEX,,,,#DIV/0!,#DIV/0!
