"Probables"
"Joc Pederson"
"Brandon Belt"
"Darin Ruf"
"B. Crawford"
"W. Flores"
"L. Gonzalez"
"T. Estrada"
"Jason Vosler"
"Joey Bart"
"A. McCutchen"
"Willy Adames"
"C. Yelich"
"H. Renfroe"
"Keston Hiura"
"T. Taylor"
"Kolten Wong"
"M. Brosseau"
"V. Caratini"
"Connor Joe"
"C. Blackmon"
"Kris Bryant"
"C.J. Cron"
"Ryan McMahon"
"R. Grichuk"
"B. Rodgers"
"Elias Diaz"
"J. Iglesias"
"Jean Segura"
"Rhys Hoskins"
"Bryce Harper"
"N. Castellanos"
"J. Realmuto"
"K. Schwarber"
"Alec Bohm"
"D. Gregorius"
"M. Vierling"
"E. Hernandez"
"R. Devers"
"J. Martinez"
"X. Bogaerts"
"Alex Verdugo"
"Trevor Story"
"Bobby Dalbec"
"J. Bradley"
"C. Vazquez"
"G. Springer"
"Bo Bichette"
"V. Guerrero"
"L. Gurriel"
"Zack Collins"
"Matt Chapman"
"A. Kirk"
"Raimel Tapia"
"S. Espinal"
"B. Nimmo"
"S. Marte"
"F. Lindor"
"Pete Alonso"
"E. Escobar"
"Jeff McNeil"
"R. Cano"
"Mark Canha"
"James McCann"
"D. Carlson"
"P. Goldschmidt"
"T. O'Neill"
"N. Arenado"
"C. Dickerson"
"Y. Molina"
"H. Bader"
"Edmundo Sosa"
"Tommy Edman"
"Jeremy Pena"
"M. Brantley"
"Alex Bregman"
"Y. Alvarez"
"Yuli Gurriel"
"Kyle Tucker"
"Niko Goodrum"
"C. McCormick"
"M. Maldonado"
"M. Semien"
"Corey Seager"
"Mitch Garver"
"A. Garcia"
"N. Lowe"
"Andy Ibanez"
"Nick Solak"
"C. Culberson"
"Eli White"
"Myles Straw"
"Steven Kwan"
"Jose Ramirez"
"F. Reyes"
"Amed Rosario"
"Owen Miller"
"Josh Naylor"
"A. Gimenez"
"A. Hedges"
"S. Ohtani"
"Mike Trout"
"Jared Walsh"
"A. Rendon"
"Taylor Ward"
"B. Marsh"
"Max Stassi"
"Tyler Wade"
"D. Fletcher"
"Mookie Betts"
"F. Freeman"
"Trea Turner"
"Max Muncy"
"J. Turner"
"Will Smith"
"C. Bellinger"
"Chris Taylor"
"Gavin Lux"
"D. Varsho"
"Ketel Marte"
"D. Peralta"
"C. Walker"
"Pavin Smith"
"Seth Beer"
"Carson Kelly"
"Nick Ahmed"
"S. Alcantara"
