Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,adj_WAR
Ketel Marte,ARI,146,652,582,169,39,3,23,93,83,55,96,7,5,2,,0.291,0.356,0.486,0.842,0.358,122,,-0.2,-1.7,,18.1,-0.8,3.9,3.9
Daulton Varsho,ARI,122,492,437,111,23,3,21,63,67,44,99,5,8,3,,0.255,0.327,0.467,0.794,0.337,108,,0.6,1.1,,5.9,5.2,2.6,3.170731707
Carson Kelly,ARI,98,409,354,85,16,1,15,50,51,46,85,5,1,0,,0.239,0.332,0.424,0.756,0.327,101,,-0.5,-0.8,,0.3,6.4,2.1,3.080684597
Josh Rojas,ARI,131,572,499,122,29,3,13,71,56,61,131,4,12,4,,0.244,0.329,0.395,0.725,0.317,95,,1,0.6,,-2.6,2.9,1.9,1.993006993
David Peralta,ARI,120,503,453,122,24,5,13,59,62,41,95,5,2,1,,0.269,0.333,0.432,0.765,0.329,103,,-0.5,0.2,,1.4,-5.8,1.2,1.431411531
Jordan Luplow,ARI,84,357,304,72,16,1,15,46,44,44,89,4,4,2,,0.235,0.337,0.444,0.781,0.338,109,,-0.2,0.3,,3.7,-6.2,0.9,1.512605042
Christian Walker,ARI,125,528,468,116,26,2,20,63,70,48,127,6,2,1,,0.248,0.324,0.438,0.762,0.327,102,,0.2,1.2,,1.4,-9.8,0.9,1.022727273
Pavin Smith,ARI,109,460,411,109,22,3,13,56,53,40,87,4,2,1,,0.265,0.333,0.431,0.763,0.329,103,,-0.9,-0.9,,0.9,-7.2,0.9,1.173913043
Seth Beer,ARI,96,387,338,86,19,1,17,49,52,30,86,13,1,1,,0.255,0.337,0.465,0.802,0.344,113,,-0.4,0.1,,5.8,-10,0.9,1.395348837
Nick Ahmed,ARI,113,458,413,98,24,2,10,49,47,36,94,3,6,2,,0.239,0.302,0.379,0.681,0.295,81,,0.3,-1.2,,-11,4.4,0.9,1.179039301
Cooper Hummel,ARI,44,177,150,37,7,2,6,23,22,23,40,3,2,1,,0.249,0.355,0.444,0.799,0.346,114,,-0.2,0,,3,-2.7,0.6,2.033898305
Alek Thomas,ARI,29,118,106,28,5,2,3,14,14,9,27,1,2,1,,0.263,0.326,0.439,0.765,0.329,103,,-0.1,0,,0.4,0.5,0.5,2.542372881
